Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
WARE-300,164,248,1,1248,1613,1,13,15,0,10,19,0,4,1,0,3,7,0,82,62,2,3493,631,485,2862,13.88
WARE-304,44,63,0,387,476,0,1,2,0,6,13,0,2,1,0,4,1,0,34,29,0,1063,200,137,863,12.89
WARE-400,73,102,0,1296,1451,3,12,12,0,9,5,0,2,0,1,8,8,0,67,63,1,3113,363,232,2750,7.45
WARE-404,6,4,0,154,161,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,334,19,10,315,2.99
WARE-405,5,2,0,241,270,0,0,1,0,3,0,0,0,1,0,0,0,0,7,4,0,534,23,12,511,2.25
WARE-406,17,29,0,609,786,1,1,3,0,4,5,0,4,1,0,0,2,0,30,25,1,1518,122,66,1396,4.35
WARE-407,1,1,0,204,236,0,1,1,0,1,2,0,0,0,0,0,0,0,13,7,0,467,27,7,440,1.5
WARE-408,0,1,0,213,200,0,1,1,0,5,5,0,0,0,0,1,0,0,12,7,0,446,33,14,413,3.14
WARE-409,11,9,0,357,428,1,1,0,0,3,1,0,0,0,0,3,4,0,21,16,1,856,70,32,786,3.74
WARE-88888,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,100
