Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
GORDON-CALHOUN CITY,224,340,0,2710,3421,1,34,33,0,272,344,0,7,7,0,25,17,0,158,128,5,7726,1594,1303,6132,16.87
GORDON-LILY POND,30,40,0,709,793,0,5,5,0,14,17,0,1,0,0,5,2,0,24,14,1,1660,158,119,1502,7.17
GORDON-FAIRMOUNT,15,10,0,777,828,0,4,0,0,2,5,0,0,0,0,1,0,0,20,23,0,1685,80,37,1605,2.2
GORDON-RED BUD,35,29,0,1051,1182,0,9,8,0,46,53,0,0,0,0,6,7,0,38,26,0,2490,257,193,2233,7.75
GORDON-RESACA,9,8,0,531,584,0,2,2,0,37,44,0,0,0,0,2,1,0,26,17,0,1263,148,105,1115,8.31
GORDON-99999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
GORDON-Total,550,639,0,12703,14347,5,81,90,0,639,743,0,10,11,0,74,56,0,541,423,8,30920,3865,2893,27055,9.36
GRADY-BLOWING CAVE,35,54,0,319,366,0,1,0,0,11,13,0,0,0,0,2,2,0,16,16,0,835,150,118,685,14.13
GRADY-CAIRO 4TH DISTR,822,1143,3,219,251,0,2,3,0,4,11,0,0,2,0,4,7,0,59,54,0,2584,2114,2001,470,77.44
GRADY-CAIRO 5TH DISTR,292,548,2,647,860,0,14,8,0,41,32,0,0,0,0,8,16,0,65,44,0,2577,1070,961,1507,37.29
GRADY-DUNCANVILLE,56,66,0,164,156,0,0,0,0,2,1,0,0,0,0,0,2,0,14,13,0,474,154,127,320,26.79
GRADY-HIGDON,87,127,0,291,328,0,0,0,0,3,2,0,0,1,0,1,3,0,27,14,0,884,265,224,619,25.34
GRADY-LIMESINK,24,33,0,112,137,0,0,1,0,0,0,0,0,0,0,0,0,0,7,6,0,320,71,58,249,18.12
GRADY-MIDWAY,79,103,0,545,572,0,1,1,0,14,7,0,0,0,0,3,2,0,35,23,0,1385,268,210,1117,15.16
GRADY-PINE PARK,93,155,0,306,345,0,2,1,0,5,8,0,0,0,0,0,1,0,23,27,0,966,315,265,651,27.43
GRADY-RAGAN,51,67,0,168,206,0,2,2,0,1,1,0,0,0,0,3,3,0,8,8,0,520,146,130,374,25
GRADY-SPENCE,9,12,0,321,362,0,0,1,0,2,2,0,0,0,0,1,4,0,12,8,0,734,51,31,683,4.22
GRADY-SPRING HILL,24,17,0,222,260,0,0,1,0,1,5,0,1,0,0,1,0,0,8,3,0,543,61,50,482,9.21
GRADY-WHIGHAM,123,127,0,431,473,0,4,7,0,5,1,0,2,1,0,9,11,0,25,34,0,1253,349,290,904,23.14
GRADY-WOODLAND,67,93,0,904,1042,0,3,0,0,10,9,0,3,0,0,3,5,0,50,45,0,2234,288,193,1946,8.64
GRADY-Total,1762,2545,5,4649,5358,0,29,25,0,99,92,0,6,4,0,35,56,0,349,295,0,15309,5302,4658,10007,30.43
GREENE-GREENSBORO,727,1071,0,528,570,0,7,8,0,21,22,0,1,1,0,10,7,0,70,71,1,3115,2017,1875,1098,60.19
GREENE-GRESHAMVILLE,66,72,0,271,285,0,1,0,0,4,0,0,0,0,0,4,4,0,27,22,0,756,200,151,556,19.97
GREENE-WOODVILLE,122,137,0,143,142,0,3,0,0,2,4,0,0,0,0,1,0,0,11,9,1,575,290,269,285,46.78
GREENE-UNION POINT,233,386,0,277,277,1,5,2,0,8,4,0,0,0,0,2,2,0,25,38,0,1260,705,642,555,50.95
GREENE-SILOAM,231,315,0,208,213,0,0,1,0,5,4,0,0,0,0,0,1,0,19,18,0,1015,594,557,421,54.88
GREENE-WHITE PLAINS,90,113,0,82,80,0,0,0,0,1,0,0,0,0,0,1,1,0,8,2,1,379,217,206,162,54.35
GREENE-WALKER,72,92,0,664,712,0,0,3,0,5,7,0,0,0,0,1,0,0,52,43,1,1652,276,180,1376,10.9
GREENE-OLD SALEM,49,64,0,1581,1713,0,9,14,0,13,7,0,0,0,0,3,5,0,167,173,1,3799,505,164,3294,4.32
GREENE-88888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,50
GREENE-99999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,100
GREENE-Total,1593,2250,0,3754,3993,1,25,28,0,59,48,0,1,1,0,22,20,0,379,376,5,12555,4807,4047,7748,32.23
GWINNETT-HARBINS A,665,794,3,1349,1540,2,52,58,0,159,173,1,1,7,0,53,53,0,289,307,6,5512,2621,2019,2891,36.63
GWINNETT-ROCKBRIDGE A,893,1267,4,461,456,0,21,17,0,58,68,0,2,6,0,36,47,0,147,179,9,3671,2754,2419,917,65.89
GWINNETT-DACULA,540,745,5,993,1067,2,56,66,1,167,190,2,4,4,0,51,58,1,247,236,4,4439,2377,1890,2062,42.58
GWINNETT-SUWANEE A,116,162,0,432,487,1,47,65,0,31,35,1,1,0,0,10,20,0,116,121,2,1647,727,488,920,29.63
GWINNETT-BAYCREEK A,301,333,4,758,836,1,40,33,0,24,27,1,2,0,0,29,25,0,125,142,3,2684,1089,819,1595,30.51
GWINNETT-GOODWINS A,362,425,2,859,886,0,147,132,1,186,231,0,3,1,0,42,59,0,195,193,5,3729,1984,1591,1745,42.67
GWINNETT-DULUTH A,323,333,0,1153,1227,4,300,316,3,90,118,1,6,5,0,94,75,1,241,203,6,4499,2115,1665,2384,37.01
GWINNETT-DUNCANS A,185,215,0,1454,1593,3,61,60,0,74,89,0,1,5,0,40,33,0,217,253,4,4287,1237,763,3050,17.8
GWINNETT-PUCKETTS A,234,268,2,1544,1707,9,59,78,0,101,117,0,0,1,0,40,34,0,221,229,7,4651,1391,934,3260,20.08
GWINNETT-CATES A,179,205,0,668,838,0,23,31,0,38,51,0,3,2,0,18,33,0,96,105,1,2291,785,583,1506,25.45
GWINNETT-BERKSHIRE A,308,378,2,302,382,0,144,153,1,131,141,2,7,4,1,31,37,0,163,130,3,2320,1636,1340,684,57.76
GWINNETT-BERKSHIRE B,798,1079,4,613,679,2,423,394,2,115,177,0,11,9,0,92,87,1,288,316,15,5105,3811,3192,1294,62.53
GWINNETT-DUNCANS C,107,134,0,1059,1073,3,53,50,0,44,51,1,2,3,0,34,21,0,136,150,2,2923,788,500,2135,17.11
GWINNETT-GARNERS A,162,210,3,1147,1292,4,102,89,0,43,51,0,3,2,0,28,25,0,137,106,4,3408,965,718,2443,21.07
GWINNETT-LAWRENCEVILLE A,372,595,1,828,1087,5,45,54,1,98,157,0,1,2,0,35,52,1,188,243,17,3782,1862,1414,1920,37.39
GWINNETT-LAWRENCEVILLE B,734,967,5,735,859,1,144,135,0,123,157,1,3,3,0,50,63,0,231,264,6,4481,2886,2385,1595,53.22
GWINNETT-MARTINS A,507,736,6,291,325,0,116,134,1,213,268,2,2,2,0,38,57,0,168,207,4,3077,2461,2082,616,67.66
GWINNETT-MARTINS B,413,593,1,423,499,1,120,116,0,160,195,2,1,5,0,46,54,2,169,151,10,2961,2038,1708,923,57.68
GWINNETT-MARTINS C,212,321,0,521,598,0,36,45,0,138,154,0,0,4,0,20,37,1,115,120,3,2325,1206,968,1119,41.63
GWINNETT-PINKCNEYVILLE A,457,659,0,233,253,1,94,87,0,205,250,2,2,2,0,36,41,1,182,155,5,2665,2178,1836,487,68.89
GWINNETT-PINCKNEYVILLE B,453,676,3,334,383,1,211,194,0,156,228,1,1,5,0,39,67,1,219,205,9,3186,2468,2035,718,63.87
GWINNETT-PINCKNEYVILLE C,104,161,0,556,675,1,50,44,0,23,35,0,2,4,0,15,13,0,68,81,5,1837,605,451,1232,24.55
GWINNETT-PINCKNEYVILLE D,295,437,2,175,168,0,112,88,0,170,229,2,3,2,0,26,26,1,138,108,4,1986,1643,1393,343,70.14
GWINNETT-SUGAR HILL A,246,340,0,1031,1175,6,62,69,3,126,180,1,4,2,0,29,27,2,217,221,8,3749,1537,1091,2212,29.1
GWINNETT-SUGAR HILL B,249,332,0,1363,1511,3,67,57,0,162,204,1,0,4,0,44,62,1,246,246,9,4561,1684,1183,2877,25.94
GWINNETT-HOG MOUNTAIN A,475,687,2,962,1142,1,126,143,0,161,212,1,4,1,0,40,65,0,269,261,8,4560,2455,1917,2105,42.04
GWINNETT-HOG MOUNTAIN B,335,397,0,1236,1362,0,103,113,1,110,144,2,2,1,0,22,43,2,209,215,11,4308,1710,1275,2598,29.6
GWINNETT-ROCKYCREEK A,475,684,1,1352,1463,4,51,48,1,110,156,1,4,1,0,49,58,0,294,270,6,5028,2209,1639,2819,32.6
GWINNETT-CATES B,61,88,0,572,672,2,27,20,1,28,33,0,0,0,0,15,17,0,66,58,5,1665,419,290,1246,17.42
GWINNETT-CATES C,454,659,2,482,567,0,16,15,0,34,49,0,1,2,0,29,49,2,110,125,6,2602,1553,1312,1049,50.42
GWINNETT-HOG MOUNTAIN D,204,264,1,854,860,2,70,64,0,80,93,1,3,2,0,33,40,1,161,149,8,2890,1174,856,1716,29.62
GWINNETT-BERKSHIRE D,148,177,3,797,858,3,151,137,3,60,65,0,2,2,0,40,37,0,107,119,7,2716,1058,825,1658,30.38
GWINNETT-BERKSHIRE E,101,125,0,559,632,1,122,111,0,29,29,0,3,3,0,29,29,0,94,78,7,1952,760,581,1192,29.76
GWINNETT-BERKSHIRE F,196,243,0,279,401,2,163,197,1,107,125,0,5,4,1,30,36,0,118,125,8,2041,1359,1108,682,54.29
GWINNETT-CATES D,284,317,0,857,970,1,106,109,2,58,51,0,6,4,0,58,37,1,132,134,6,3133,1305,1033,1828,32.97
GWINNETT-CATES E,182,196,1,896,988,0,79,72,0,39,47,0,1,5,0,27,38,0,100,100,4,2775,891,687,1884,24.76
GWINNETT-PINCKNEYVILLE E,435,675,6,253,295,2,22,21,1,98,137,0,0,1,0,17,55,0,141,183,4,2346,1796,1468,550,62.57
GWINNETT-PINCKNEYVILLE F,268,359,1,293,311,2,124,125,0,169,200,1,2,6,0,26,43,0,143,117,4,2194,1588,1324,606,60.35
GWINNETT-DUNCANS D,267,354,3,1904,2127,2,44,62,0,106,139,0,1,5,0,46,45,0,275,291,3,5674,1641,1072,4033,18.89
GWINNETT-PINCKNEYVILLE H,332,456,2,1054,1128,2,187,210,3,55,77,0,0,2,0,57,56,0,204,230,6,4061,1877,1437,2184,35.39
GWINNETT-BAYCREEK B,1037,1466,5,810,929,2,22,29,0,88,89,1,2,5,0,44,82,0,278,286,10,5185,3444,2870,1741,55.35
GWINNETT-LAWRENCEVILLE C,225,248,0,791,899,2,48,45,0,84,93,1,1,2,0,32,32,0,150,152,5,2810,1118,811,1692,28.86
GWINNETT-MARTINS D,347,571,1,171,202,2,81,80,0,108,127,0,1,3,0,29,39,0,128,125,5,2020,1645,1387,375,68.66
GWINNETT-ROCKBRIDGE B,808,1169,3,550,592,1,38,42,0,85,85,1,3,2,0,50,63,0,171,172,9,3844,2701,2349,1143,61.11
GWINNETT-GARNERS B,604,702,2,568,638,1,59,77,0,31,31,0,0,2,0,35,37,1,140,113,2,3043,1836,1581,1207,51.96
GWINNETT-CATES F,100,131,0,553,687,1,32,39,0,17,35,0,3,0,0,22,32,0,63,77,5,1797,556,411,1241,22.87
GWINNETT-CATES G,122,151,2,954,1058,1,93,80,0,25,26,0,4,5,1,30,39,2,110,103,2,2808,795,580,2013,20.66
GWINNETT-DULUTH B,200,259,2,851,961,3,255,263,3,79,82,0,3,2,0,38,45,1,177,191,6,3421,1606,1232,1815,36.01
GWINNETT-GARNERS C,221,307,1,485,520,2,71,64,0,22,34,0,3,7,0,27,42,0,90,91,4,1991,984,799,1007,40.13
GWINNETT-PINCKNEYVILLE I,425,668,1,293,285,0,127,101,0,104,146,1,1,7,0,38,49,0,159,169,4,2578,2000,1668,578,64.7
GWINNETT-PINCKNEYVILLE J,500,681,2,199,222,1,78,68,0,178,191,1,1,2,1,40,39,0,156,176,10,2546,2124,1782,422,69.99
GWINNETT-BERKSHIRE G,154,161,0,667,725,3,98,93,0,28,30,1,4,3,0,30,41,0,82,85,1,2206,811,643,1395,29.15
GWINNETT-CATES H,653,1080,6,513,612,1,27,25,0,57,85,0,1,3,0,44,58,0,145,173,10,3493,2367,2039,1126,58.37
GWINNETT-SUGAR HILL C,212,286,0,1451,1599,3,79,81,0,107,128,0,2,3,0,41,42,0,253,234,5,4526,1473,981,3053,21.67
GWINNETT-SUGAR HILL D,302,386,1,1050,1204,7,29,34,0,118,143,1,1,0,0,30,30,3,185,173,9,3706,1445,1078,2261,29.09
GWINNETT-DULUTH C,173,311,1,614,697,0,64,90,0,57,81,0,1,2,0,19,25,0,123,125,4,2387,1076,824,1311,34.52
GWINNETT-DULUTH D,432,590,7,848,919,3,277,252,3,156,206,0,3,2,0,50,78,1,236,256,9,4328,2558,2057,1770,47.53
GWINNETT-PINCKNEYVILLE K,630,899,2,337,374,0,135,115,3,233,305,4,1,3,0,59,80,1,239,242,10,3672,2961,2470,711,67.27
GWINNETT-PINCKNEYVILLE N,856,1281,1,394,476,2,48,52,1,124,142,3,3,4,0,34,68,1,245,272,8,4015,3143,2618,872,65.21
GWINNETT-LAWRENCEVILLE D,935,1560,7,559,695,3,43,34,0,148,223,1,3,4,0,37,67,2,267,308,10,4906,3649,3064,1257,62.45
GWINNETT-LAWRENCEVILLE E,174,273,2,631,708,2,45,44,0,77,88,1,0,2,0,16,17,0,103,106,1,2290,949,739,1341,32.27
GWINNETT-PINCKNEYVILLE L,36,32,0,967,961,1,60,70,0,15,23,0,3,1,0,28,23,0,77,77,2,2376,447,291,1929,12.25
GWINNETT-PINCKNEYVILLE M,44,49,0,1008,1024,2,86,75,2,16,19,0,1,0,0,26,22,0,121,121,4,2620,586,340,2034,12.98
GWINNETT-GARNERS D,712,912,5,459,554,0,13,17,0,47,55,1,1,3,0,29,42,0,94,148,7,3099,2086,1837,1013,59.28
GWINNETT-BERKSHIRE H,178,225,0,239,260,1,110,112,1,134,125,0,5,2,0,32,33,0,113,94,5,1669,1169,957,500,57.34
GWINNETT-PINCKNEYVILLE O,671,851,2,369,381,0,140,125,2,177,273,2,3,4,0,60,53,3,228,195,3,3542,2792,2366,750,66.8
GWINNETT-PUCKETTS E,405,645,1,1064,1212,7,205,196,1,126,158,1,5,5,0,53,65,0,270,298,5,4722,2439,1866,2283,39.52
GWINNETT-CATES I,278,332,3,940,1021,2,179,174,0,61,72,0,5,7,0,51,66,0,164,150,5,3510,1547,1228,1963,34.99
GWINNETT-CATES J,375,505,3,744,844,1,117,116,1,45,54,0,1,3,0,60,57,0,157,152,3,3238,1649,1337,1589,41.29
GWINNETT-GOODWINS B,224,267,0,1217,1284,1,122,107,1,80,90,1,1,3,0,48,50,0,162,159,5,3822,1320,994,2502,26.01
GWINNETT-LAWRENCEVILLE F,788,982,6,464,542,1,74,93,0,138,180,2,3,2,0,52,74,0,215,219,8,3843,2836,2394,1007,62.3
GWINNETT-MARTINS E,1301,2174,9,435,498,3,167,151,2,225,315,2,5,3,0,51,110,1,425,462,11,6350,5414,4516,936,71.12
GWINNETT-PINCKNEYVILLE P,224,340,1,532,660,2,25,32,0,30,45,0,2,2,0,20,33,0,92,115,3,2158,964,754,1194,34.94
GWINNETT-PINCKNEYVILLE Q,320,531,3,97,142,1,46,35,0,140,185,1,1,1,0,27,35,0,112,128,5,1810,1570,1325,240,73.2
GWINNETT-ROCKBRIDGE C,1169,1508,9,540,548,1,56,52,1,62,75,0,5,2,0,57,80,1,217,263,10,4656,3567,3077,1089,66.09
GWINNETT-ROCKBRIDGE D,809,1089,3,443,518,0,31,27,0,55,75,1,0,2,0,33,43,1,143,163,4,3440,2479,2169,961,63.05
GWINNETT-GOODWINS C,527,810,4,921,1024,0,291,264,4,166,201,2,8,4,0,73,78,1,291,340,14,5023,3078,2433,1945,48.44
GWINNETT-BAYCREEK K,405,520,1,822,955,2,65,65,1,57,70,1,0,1,0,35,49,1,128,173,6,3357,1578,1271,1779,37.86
GWINNETT-CATES K,156,194,1,793,845,1,49,45,0,57,53,0,1,0,0,23,29,0,113,117,4,2481,842,608,1639,24.51
GWINNETT-BAYCREEK C,949,1140,5,1139,1209,4,68,67,1,111,120,1,1,7,0,66,84,3,300,305,8,5588,3236,2623,2352,46.94
GWINNETT-CATES L,609,773,1,865,962,1,51,51,0,63,82,2,3,6,0,50,57,0,186,204,4,3970,2142,1748,1828,44.03
GWINNETT-DULUTH E,597,974,1,725,970,1,225,228,1,86,139,0,7,8,1,63,94,1,307,301,12,4741,3045,2425,1696,51.15
GWINNETT-GOODWINS D,332,418,1,1037,1078,0,148,173,2,175,180,1,3,5,0,59,65,1,219,211,4,4112,1997,1563,2115,38.01
GWINNETT-LAWRENCEVILLE G,501,590,5,321,362,0,147,180,1,107,138,1,4,3,0,49,50,0,185,183,12,2839,2156,1776,683,62.56
GWINNETT-LAWRENCEVILLE H,296,363,3,1149,1192,2,115,130,2,97,121,1,1,5,0,50,52,1,173,177,8,3938,1595,1237,2343,31.41
GWINNETT-MARTINS F,392,595,2,285,318,2,93,94,0,146,199,1,0,1,0,26,50,0,158,138,7,2507,1902,1599,605,63.78
GWINNETT-PINCKNEYVILLE S,290,498,1,520,519,0,192,157,0,194,200,1,3,3,0,42,43,0,168,147,2,2980,1941,1624,1039,54.5
GWINNETT-ROCKBRIDGE E,945,1304,6,561,626,2,53,64,1,87,98,1,2,7,0,48,83,1,209,217,9,4324,3135,2700,1189,62.44
GWINNETT-SUGAR HILL E,152,210,1,876,1027,2,68,90,2,61,78,1,0,1,0,23,31,0,156,127,1,2907,1002,718,1905,24.7
GWINNETT-LAWRENCEVILLE I,398,602,1,689,828,1,53,55,2,105,152,0,0,3,0,48,58,1,199,181,5,3381,1863,1478,1518,43.71
GWINNETT-BAYCREEK D,456,580,2,1101,1278,5,44,53,1,67,83,1,0,3,0,42,65,0,200,218,4,4203,1819,1397,2384,33.24
GWINNETT-BERKSHIRE J,164,173,2,866,927,2,117,136,0,26,32,0,3,7,0,27,27,0,102,100,1,2712,917,714,1795,26.33
GWINNETT-CATES M,217,247,3,1372,1414,4,120,121,1,45,65,0,5,2,0,65,53,0,175,193,5,4107,1317,944,2790,22.99
GWINNETT-CATES N,152,184,2,837,964,1,32,32,1,36,39,0,0,3,0,23,35,0,99,118,6,2564,762,539,1802,21.02
GWINNETT-DULUTH F,711,1268,4,532,576,2,359,378,3,177,212,3,7,3,0,50,88,1,338,400,5,5117,4007,3264,1110,63.79
GWINNETT-DULUTH G,151,206,0,744,831,2,219,219,2,44,54,1,0,5,0,18,33,0,137,141,4,2811,1234,952,1577,33.87
GWINNETT-GOODWINS E,344,502,1,1283,1361,4,308,309,4,131,146,1,4,6,0,77,59,0,292,269,11,5112,2464,1892,2648,37.01
GWINNETT-GOODWINS F,217,311,1,742,795,5,148,174,0,97,112,0,2,4,0,47,45,2,184,174,4,3064,1522,1160,1542,37.86
GWINNETT-PINCKNEYVILLE T,217,296,1,553,637,1,164,195,3,168,194,3,1,1,0,62,33,0,196,150,4,2879,1688,1338,1191,46.47
GWINNETT-SUWANEE B,250,309,0,1046,1105,4,243,257,2,56,87,1,3,4,0,52,61,3,232,231,4,3950,1795,1328,2155,33.62
GWINNETT-PINCKNEYVILLE U,293,449,2,482,529,0,18,25,0,29,42,0,1,2,0,22,28,0,105,117,4,2148,1137,911,1011,42.41
GWINNETT-PUCKETTS B,152,188,0,885,944,2,90,79,0,71,75,0,3,3,0,24,26,0,140,151,4,2837,1006,711,1831,25.06
GWINNETT-BERKSHIRE L,436,679,9,368,384,1,146,149,2,168,199,0,3,2,0,33,39,1,173,194,9,2995,2242,1866,753,62.3
GWINNETT-ROCKBRIDGE F,1364,1986,7,518,602,2,38,37,0,40,64,0,0,2,0,40,71,0,237,259,11,5278,4156,3649,1122,69.14
GWINNETT-SUGAR HILL F,167,257,0,1135,1225,1,156,162,2,118,136,0,7,3,0,40,52,0,204,201,9,3875,1514,1100,2361,28.39
GWINNETT-SUWANEE C,237,331,3,1209,1354,3,323,336,4,90,93,0,1,8,0,46,68,2,286,233,12,4639,2073,1542,2566,33.24
GWINNETT-CATES O,94,105,1,381,401,0,74,71,0,25,21,0,4,0,0,24,20,0,73,73,0,1367,585,439,782,32.11
GWINNETT-BAYCREEK E,399,519,1,650,825,0,23,18,0,55,88,1,1,1,0,36,38,0,132,160,3,2950,1475,1180,1475,40
GWINNETT-BERKSHIRE M,94,103,1,478,493,0,96,77,1,33,38,0,0,1,0,23,24,0,78,83,2,1625,654,491,971,30.22
GWINNETT-MARTINS G,337,468,1,319,355,0,59,83,1,148,183,3,1,0,0,33,34,0,134,117,2,2278,1604,1351,674,59.31
GWINNETT-DULUTH H,188,303,1,620,850,4,104,112,0,48,79,1,1,3,0,20,44,0,129,158,4,2669,1195,904,1474,33.87
GWINNETT-BERKSHIRE N,156,195,0,989,1075,3,108,104,0,21,29,0,3,2,0,34,28,1,110,114,5,2977,910,681,2067,22.88
GWINNETT-PINCKNEYVILLE V,165,205,0,220,251,0,147,144,0,99,97,2,0,3,1,31,33,0,95,80,1,1574,1103,927,471,58.89
GWINNETT-PINCKNEYVILLE W,384,513,1,746,775,2,198,166,2,176,198,2,7,7,0,30,61,0,201,232,3,3704,2181,1745,1523,47.11
GWINNETT-MARTINS H,560,764,5,681,690,2,275,236,4,233,304,3,6,4,0,53,80,1,254,233,8,4396,3023,2528,1373,57.51
GWINNETT-MARTINS I,471,652,3,316,436,6,282,274,4,293,330,4,4,5,0,47,80,0,240,224,11,3682,2924,2449,758,66.51
GWINNETT-MARTINS J,705,1046,2,357,410,0,106,127,2,255,321,1,1,5,0,39,82,0,262,289,10,4020,3253,2692,767,66.97
GWINNETT-GARNERS F,102,114,1,462,550,1,60,55,0,15,21,0,2,2,0,20,14,0,81,55,5,1560,547,406,1013,26.03
GWINNETT-BERKSHIRE O,152,193,3,766,835,3,111,105,1,22,46,0,1,1,0,28,31,1,110,107,3,2519,915,695,1604,27.59
GWINNETT-BERKSHIRE P,135,189,2,245,266,0,45,38,2,95,122,1,0,0,0,26,13,0,53,64,2,1298,787,668,511,51.46
GWINNETT-PINCKNEYVILLE X,190,242,1,944,902,1,208,219,2,54,60,0,3,2,0,44,62,1,182,202,7,3326,1479,1088,1847,32.71
GWINNETT-ROCKBRIDGE G,1316,1796,7,607,669,1,18,19,1,67,94,1,1,4,0,51,69,0,220,223,10,5174,3897,3444,1277,66.56
GWINNETT-PINCKNEYVILLE Y,473,667,3,232,266,0,162,144,1,244,343,2,4,5,0,43,60,0,201,199,8,3057,2559,2151,498,70.36
GWINNETT-GOODWINS G,380,496,1,395,462,0,78,80,0,127,151,1,0,3,0,26,36,1,148,158,5,2548,1691,1380,857,54.16
GWINNETT-PINCKNEYVILLE Z,21,27,0,744,794,0,35,28,0,19,19,0,1,1,0,29,12,0,71,71,20,1892,354,192,1538,10.15
GWINNETT-PINCKNEYVILLE A1,55,70,0,1084,1132,4,72,69,0,12,24,0,0,0,0,32,31,0,118,116,4,2823,603,365,2220,12.93
GWINNETT-LAWRENCEVILLE J,310,424,0,368,405,0,41,36,0,60,89,0,2,1,0,31,25,0,119,113,4,2028,1255,1019,773,50.25
GWINNETT-GOODWINS H,216,282,1,716,715,0,105,93,1,118,129,1,3,1,0,37,32,0,129,136,5,2720,1289,1019,1431,37.46
GWINNETT-DUNCANS B,219,260,2,1517,1601,3,52,55,1,74,86,0,2,2,0,34,31,0,221,218,5,4383,1262,818,3121,18.66
GWINNETT-SUWANEE D,179,193,0,1412,1460,4,183,174,0,53,65,0,1,4,0,49,49,0,215,238,7,4286,1410,950,2876,22.17
GWINNETT-SUWANEE E,131,157,2,1321,1353,4,143,143,0,45,52,1,1,1,0,50,41,2,183,221,6,3857,1179,769,2678,19.94
GWINNETT-LAWRENCEVILLE K,205,296,0,844,880,1,128,137,1,86,88,0,3,5,0,53,36,0,154,143,3,3063,1338,1038,1725,33.89
GWINNETT-HARBINS B,314,350,3,1300,1346,7,45,47,0,86,115,0,1,2,0,21,35,0,198,158,7,4035,1382,1019,2653,25.25
GWINNETT-BAYCREEK F,698,936,1,680,860,0,63,46,0,65,98,0,1,2,0,40,60,1,231,240,8,4030,2490,2011,1540,49.9
GWINNETT-PUCKETTS C,181,243,1,847,940,0,47,52,0,77,113,1,2,1,0,30,23,0,149,157,5,2869,1082,771,1787,26.87
GWINNETT-HOG MOUNTAIN C,256,321,0,1133,1242,6,82,75,1,157,166,0,2,4,0,42,47,0,191,210,7,3942,1561,1153,2381,29.25
GWINNETT-ROCKYCREEK B,388,450,4,1276,1419,1,96,88,3,155,175,2,1,1,0,47,52,0,232,266,6,4662,1966,1462,2696,31.36
GWINNETT-DULUTH I,192,212,1,964,1027,4,641,635,5,42,47,1,17,11,0,88,67,0,266,284,12,4516,2521,1959,1995,43.38
GWINNETT-MARTINS K,781,1123,5,493,520,2,300,274,3,228,330,1,6,3,0,78,87,0,309,295,9,4847,3832,3219,1015,66.41
GWINNETT-SUWANEE H,101,110,2,1234,1275,4,124,122,2,41,47,0,5,4,0,40,33,0,175,183,6,3508,995,631,2513,17.99
GWINNETT-SUGAR HILL G,86,133,0,915,1001,5,80,75,1,40,62,1,2,0,0,22,25,0,132,136,2,2718,797,527,1921,19.39
GWINNETT-SUWANEE F,273,304,1,882,923,3,260,285,2,71,104,1,3,5,0,54,62,0,217,227,9,3686,1878,1425,1808,38.66
GWINNETT-LAWRENCEVILLE L,469,645,4,941,1087,1,251,278,4,97,123,2,5,7,0,76,79,1,254,257,10,4591,2562,2041,2029,44.46
GWINNETT-LAWRENCEVILLE M,1043,1424,6,618,726,2,81,93,0,250,330,3,3,4,0,56,87,2,306,302,9,5345,3999,3382,1346,63.27
